clim,ssp,Window_U_value,Roof_Rc_value,Floor_Rc_value,Façade_Rc_value,ifn,heat,cool,Energy_Consumption,label,co2,crt,uwin,rr,rf,rwall,inf,cost
0.0,0.0,0.0,0.0,1.0,2.0,0.0,190.2886921316368,13.491604832436265,209.8515191386693,7.0,67.16711900909233,1.54,0.0,0.0,1.0,2.0,0.0,7512.1485
0.0,0.0,0.0,0.0,1.0,2.0,1.0,99.25953739582938,22.739411117125456,132.2316835156613,5.0,37.90955494901595,1.54,0.0,0.0,1.0,2.0,1.0,8912.1485
0.0,0.0,0.0,0.0,1.0,2.0,2.0,86.32044682291092,25.39660722128387,123.14552729377252,5.0,33.99653104128466,1.54,0.0,0.0,1.0,2.0,2.0,9212.1485
0.0,0.0,0.0,0.0,1.0,2.0,3.0,73.65988665683294,28.54847522533504,115.05517573356876,5.0,30.26873242955952,1.54,0.0,0.0,1.0,2.0,3.0,9612.1485
0.0,0.0,0.0,0.0,1.0,3.0,0.0,186.7479335907773,13.346753566562432,206.1007262622928,7.0,65.93675332354522,1.54,0.0,0.0,1.0,3.0,0.0,6631.5949
0.0,0.0,0.0,0.0,1.0,3.0,1.0,95.880276248356,22.8659270674076,129.035870496097,5.0,36.78375857777663,1.54,0.0,0.0,1.0,3.0,1.0,8031.5949
0.0,0.0,0.0,0.0,1.0,3.0,2.0,82.98633706917268,25.603511022001367,120.11142805107464,5.0,32.900797120544965,1.54,0.0,0.0,1.0,3.0,2.0,8331.5949
0.0,0.0,0.0,0.0,1.0,3.0,3.0,70.38587476204694,28.87844301746228,112.25961713736724,5.0,29.21595249129156,1.54,0.0,0.0,1.0,3.0,3.0,8731.5949
0.0,0.0,0.0,0.0,1.0,4.0,0.0,185.35275651519368,13.292008659264845,204.6261690711277,7.0,65.45237479981132,1.54,0.0,0.0,1.0,4.0,0.0,7710.850899999999
0.0,0.0,0.0,0.0,1.0,4.0,1.0,94.54894522800396,22.91885361783787,127.78128297386888,5.0,36.34079158958568,1.54,0.0,0.0,1.0,4.0,1.0,9110.8509
0.0,0.0,0.0,0.0,1.0,4.0,2.0,81.67311486605638,25.68936365479783,118.92269216551324,5.0,32.470012603287174,1.54,0.0,0.0,1.0,4.0,2.0,9410.8509
0.0,0.0,0.0,0.0,1.0,4.0,3.0,69.10205089308991,29.02105914350957,111.1825866511788,5.0,28.805551126912825,1.54,0.0,0.0,1.0,4.0,3.0,9810.8509
0.0,0.0,0.0,0.0,2.0,0.0,0.0,236.0256485705277,16.26170405193791,259.6051194458377,8.0,83.22461235548407,1.54,0.0,0.0,2.0,0.0,0.0,1967.0365
0.0,0.0,0.0,0.0,2.0,0.0,1.0,143.5642131320719,23.494421868660712,177.63112484162994,6.0,53.11131166686936,1.54,0.0,0.0,2.0,0.0,1.0,3367.0365
0.0,0.0,0.0,0.0,2.0,0.0,2.0,130.16902523190987,25.388782289545286,166.98275955175052,6.0,48.90361573783615,1.54,0.0,0.0,2.0,0.0,2.0,3667.0365
0.0,0.0,0.0,0.0,2.0,0.0,3.0,116.92835551399462,27.56919703788217,156.90369121892377,5.0,44.800803932690606,1.54,0.0,0.0,2.0,0.0,3.0,4067.0365
0.0,0.0,0.0,0.0,2.0,1.0,0.0,194.12367268929907,14.145196177847858,214.63420714717847,7.0,68.59061961490785,1.54,0.0,0.0,2.0,1.0,0.0,2704.0621
0.0,0.0,0.0,0.0,2.0,1.0,1.0,102.9892418856979,23.436544771311738,136.97223180409992,5.0,39.30522993428733,1.54,0.0,0.0,2.0,1.0,1.0,4104.0621
0.0,0.0,0.0,0.0,2.0,1.0,2.0,90.01458831343665,26.059903467304004,127.80144834102744,5.0,35.37392236108509,1.54,0.0,0.0,2.0,1.0,2.0,4404.0621
0.0,0.0,0.0,0.0,2.0,1.0,3.0,77.29261978586268,29.15570512104696,119.56839221138075,5.0,31.614984764344907,1.54,0.0,0.0,2.0,1.0,3.0,4804.0621
0.0,0.0,0.0,0.0,2.0,2.0,0.0,190.03779481313268,13.98111981184818,210.31041854031253,7.0,67.17139516203333,1.54,0.0,0.0,2.0,2.0,0.0,7671.6221
0.0,0.0,0.0,0.0,2.0,2.0,1.0,99.08212356966568,23.570394032166444,133.25919491630702,5.0,38.0013041215728,1.54,0.0,0.0,2.0,2.0,1.0,9071.6221
